file,M,R,D,kT_comb_eV,kT_comb_sigma_eV,logT_g1,logTlo_g1,logThi_g1,kT_g1_eV,kTlo_g1_eV,kThi_g1_eV,logT_g2,logTlo_g2,logThi_g2,kT_g2_eV,kTlo_g2_eV,kThi_g2_eV,logT_g3,logTlo_g3,logThi_g3,kT_g3_eV,kTlo_g3_eV,kThi_g3_eV,logT_g4,logTlo_g4,logThi_g4,kT_g4_eV,kTlo_g4_eV,kThi_g4_eV,logT_g5,logTlo_g5,logThi_g5,kT_g5_eV,kTlo_g5_eV,kThi_g5_eV
M16_R14_D56.txt,1.6,14.0,5.6,132.56389085934106,0.8086431393029498,6.21756,6.21108,6.22308,142.21090131502854,140.10475949288508,144.02997620377576,6.21442,6.20891,6.21942,141.18640789918115,139.40645672533904,142.82126945156935,6.18787,6.18164,6.19344,132.81370405047946,130.92207773091545,134.5280629622172,6.16257,6.1558,6.16865,125.29763938461062,123.35958194873665,127.06410709584709,6.15141,6.14475,6.15719,122.11890147597653,120.2604678181018,123.7550383075552
M16_R16_D56.txt,1.6,16.0,5.6,124.95760319309446,0.7539086432732708,6.19041,6.18385,6.19553,133.59274971179903,131.5900006097355,135.1770264795438,6.1877,6.18221,6.1924,132.76172569896667,131.0940223005594,134.20629557744937,6.16143,6.15503,6.16693,124.96917101588319,123.14106035479315,126.56187171004069,6.1367,6.12994,6.14279,118.05187490027143,116.22856849418426,119.71894717411732,6.12527,6.11853,6.13104,114.98544993428483,113.21471794745892,116.52333041563968
M18_R10_D56.txt,1.8,10.0,5.6,166.39337865510205,1.0314632952611342,6.31661,6.31019,6.32213,178.64171891979953,176.02035353632328,180.92679455018128,6.31305,6.30761,6.31809,177.1833419699537,174.97777465813954,179.25153729034187,6.28638,6.28005,6.29217,166.62988283079056,164.21880554377523,168.86626158460825,6.25925,6.25227,6.26564,156.53912031509495,154.04332667014333,158.85938939840204,6.24784,6.24108,6.25392,152.4800019807835,150.12495455229825,154.6296913239442
M18_R12_D56.txt,1.8,12.0,5.6,147.49508156844266,0.9120114352651649,6.26475,6.25827,6.27028,158.53417208315867,156.18628280761308,160.56574139027745,6.26139,6.25589,6.26642,157.31237541025985,155.33269917657148,159.14495983051515,6.23443,6.22804,6.24024,147.84372249631446,145.68434608319677,149.83486777626902,6.20765,6.20063,6.21401,139.002588882181,136.773792378672,141.0531823710682,6.19636,6.18985,6.20225,135.4356164854679,133.42059986730752,137.28493705744066
M18_R14_D56.txt,1.8,14.0,5.6,135.3964735576784,0.8256642789955612,6.22692,6.22042,6.23243,145.30912544252487,143.15050648024288,147.1644422942473,6.22386,6.21834,6.22885,144.28888883523882,142.46654392257958,145.9563146166829,6.19692,6.19071,6.20258,135.61036626428603,133.68506419462665,137.38929308239827,6.17189,6.16514,6.17792,128.01559789926145,126.04130437160097,129.80543859429693,6.16075,6.15409,6.16648,124.77365266084826,122.87481838606966,126.43080086155506
M18_R16_D56.txt,1.8,16.0,5.6,127.04430242828332,0.7669019193058375,6.19766,6.1911,6.20296,135.84163149803186,133.80516839586173,137.50955889446752,6.195,6.18952,6.19969,135.01216109717055,133.31925832069032,136.47807522593874,6.16879,6.16241,6.17427,127.10507432726938,125.25148653054124,128.71906870395378,6.14427,6.13753,6.15032,120.12762446254816,118.27770495309036,121.81278959248246,6.13284,6.12611,6.13858,117.00728141786706,115.20806673207501,118.56401262297871
M20_R10_D56.txt,2.0,10.0,5.6,174.50024288171326,1.0744766537225146,6.33674,6.33031,6.34218,187.11684619150333,184.36687263809407,189.47542458956625,6.33347,6.32802,6.33843,185.71324943426796,183.39727943344454,187.8464054214547,6.30689,6.30054,6.31261,174.68792611368065,172.1523236124743,177.00392179629227,6.2804,6.27348,6.28671,164.3512036074978,161.7532028919367,166.75654517688685,6.26899,6.26223,6.27499,160.08951501178728,157.6169389640543,162.31658200751428
M20_R12_D56.txt,2.0,12.0,5.6,152.5116002039329,0.946480176440775,6.27847,6.27198,6.28396,163.6224491167181,161.19549081042072,165.70396061250588,6.27528,6.26977,6.28027,162.42500504841314,160.37729675482353,164.30201472778023,6.24835,6.24193,6.25411,152.65916723028423,150.41906643598156,154.6973552482632,6.22193,6.21495,6.22826,143.64909324262837,141.358812747271,145.7581639113057,6.21041,6.20361,6.21644,139.88878203584352,137.7155208349064,141.8446267842602
M20_R14_D56.txt,2.0,14.0,5.6,138.62092454326373,0.8481489268801631,6.23725,6.23074,6.24274,148.80683816626686,146.5928839673497,150.69987390779866,6.23428,6.22875,6.23925,147.79266790091145,145.9227108021868,149.49369932323336,6.2072,6.20076,6.21296,138.85863409532203,136.81473983529895,140.71256798832619,6.18216,6.17542,6.18814,131.07893041225825,129.0603649762615,132.89629973347826,6.17101,6.16437,6.17671,127.7564657339157,125.81803232172126,129.44428737252048
M20_R16_D56.txt,2.0,16.0,5.6,129.26851825364062,0.7858337114208349,6.20568,6.19915,6.21114,138.37348817101255,136.3084843960344,140.12411701786482,6.20298,6.19747,6.2079,137.5158915894912,135.7822149820979,139.08262823941163,6.17672,6.17034,6.18217,129.44726797170068,127.55952369790135,131.08194865091878,6.15244,6.14571,6.15845,122.40887003082877,120.52659540687493,124.11460485090628,6.14101,6.13428,6.14671,119.22927110080016,117.39588899892307,120.8044379040063
M22_R10_D56.txt,2.2,10.0,5.6,184.44464609477004,1.1255702072345668,6.36024,6.35386,6.36564,197.52082411677495,194.64035540913036,199.9921222157531,6.35724,6.35188,6.36219,196.16110032769777,193.75498675090816,198.40969474125743,6.33073,6.32448,6.33647,184.54525745418,181.90845652735348,187.00055218073885,6.30507,6.29833,6.3114,173.95739236592007,171.27851500201743,176.51145257999272,6.29362,6.287,6.29964,169.43100578751427,166.86793399184458,171.7959371778916
M22_R12_D56.txt,2.2,12.0,5.6,158.14228243858037,0.9770400461640312,6.29385,6.28736,6.29929,169.52075929279113,167.00631327956714,171.65754178474268,6.29084,6.28533,6.29578,168.3499101496089,166.22750598446407,170.27578413982104,6.26396,6.25752,6.26967,158.246053859331,155.91679141726837,160.3403727687412,6.23803,6.23109,6.24431,149.07433782893995,146.71107149117512,151.24564869191929,6.22646,6.21965,6.23243,145.1552970755594,142.89692685265564,147.1644422942473
M22_R14_D56.txt,2.2,14.0,5.6,142.2513024879773,0.867991538738175,6.24854,6.24202,6.254,152.72596887911132,150.45024140911332,154.6581777893381,6.24568,6.24014,6.25062,151.7235127037922,149.80037099471502,153.45918554472325,6.2186,6.21213,6.22432,142.5518602067464,140.44390259045008,144.44179902582758,6.19337,6.18665,6.1993,134.50638134773016,132.4411334762988,136.3555718099073,6.18221,6.17557,6.18786,131.0940223005594,129.10494854600154,132.81064593713634
M22_R16_D56.txt,2.2,16.0,5.6,131.8710070868572,0.800105264833939,6.21444,6.20792,6.21988,141.19290992325793,139.0890333786236,142.97262433210284,6.21181,6.20626,6.21671,140.34045781391205,138.5584093286254,141.93283871926133,6.18524,6.17887,6.19067,132.0118413915867,130.08969304247927,133.67275191219798,6.16124,6.15452,6.1672,124.9145100650463,122.99653841613376,126.64057943308978,6.1498,6.14307,6.15546,121.66702503208107,119.79615771885312,123.2630441246606
