M,R,D,kT_g3_eV
1.2,10.0,5.6,149.3835888660679
1.2,12.0,5.6,136.74545131878006
1.2,14.0,5.6,128.03328512946737
1.2,16.0,5.6,121.31454925629991
1.4,10.0,5.6,154.22077773341886
1.4,12.0,5.6,139.94677310101048
1.4,14.0,5.6,130.29054146421672
1.4,16.0,5.6,123.05036008773916
1.6,10.0,5.6,159.91635745205994
1.6,12.0,5.6,143.64578563810133
1.6,14.0,5.6,132.81370405047946
1.6,16.0,5.6,124.96917101588319
1.8,10.0,5.6,166.62988283079056
1.8,12.0,5.6,147.84372249631446
1.8,14.0,5.6,135.61036626428603
1.8,16.0,5.6,127.10507432726938
2.0,10.0,5.6,174.68792611368065
2.0,12.0,5.6,152.65916723028423
2.0,14.0,5.6,138.85863409532203
2.0,16.0,5.6,129.44726797170068
2.2,10.0,5.6,184.54525745418
2.2,12.0,5.6,158.246053859331
2.2,14.0,5.6,142.5518602067464
2.2,16.0,5.6,132.0118413915867
1.2,10.0,7.3,164.1583162432188
1.2,12.0,7.3,150.14569651401536
1.2,14.0,7.3,140.14993121160796
1.2,16.0,7.3,132.68837912631653
1.4,10.0,7.3,169.40369893667034
1.4,12.0,7.3,153.6571907624602
1.4,14.0,7.3,142.6865012445471
1.4,16.0,7.3,134.54974807164922
1.6,10.0,7.3,175.55487297981557
1.6,12.0,7.3,157.67864853143718
1.6,14.0,7.3,145.53347149044464
1.6,16.0,7.3,136.60383408375714
1.8,10.0,7.3,182.79440091253238
1.8,12.0,7.3,162.23811395454092
1.8,14.0,7.3,148.710929772759
1.8,16.0,7.3,138.9769860172404
2.0,10.0,7.3,191.46213125315097
2.0,12.0,7.3,167.4491274853261
2.0,14.0,7.3,152.28702020599178
2.0,16.0,7.3,141.5933604176954
2.2,10.0,7.3,202.10771355975191
2.2,12.0,7.3,173.4773937756942
2.2,14.0,7.3,156.29061097617847
2.2,16.0,7.3,144.47838850806048
1.2,10.0,8.8,175.4942489447891
1.2,12.0,8.8,160.46594901755574
1.2,14.0,8.8,149.67969479259855
1.2,16.0,8.8,141.4955849637393
1.4,10.0,8.8,181.0559864487907
1.4,12.0,8.8,164.2074621023594
1.4,14.0,8.8,152.39927077877914
1.4,16.0,8.8,143.539982495908
1.6,10.0,8.8,187.54819507036063
1.6,12.0,8.8,168.47012144598966
1.6,14.0,8.8,155.42929922603403
1.6,16.0,8.8,145.81187309636047
1.8,10.0,8.8,195.14745369629514
1.8,12.0,8.8,173.28975548987736
1.8,14.0,8.8,158.81550099065961
1.8,16.0,8.8,148.34840761965955
2.0,10.0,8.8,204.25979369828875
2.0,12.0,8.8,178.7939787407804
2.0,14.0,8.8,162.60087897376386
2.0,16.0,8.8,151.13424782621658
2.2,10.0,8.8,215.46309251834063
2.2,12.0,8.8,185.1539105163083
2.2,14.0,8.8,166.84104022607266
2.2,16.0,8.8,154.20302343226626
