M,R,D,kT_g2_eV
1.2,10.0,5.6,158.9179261425122
1.2,12.0,5.6,145.49661480603405
1.2,14.0,5.6,135.96993468688498
1.2,16.0,5.6,128.91780098775013
1.4,10.0,5.6,164.05251357590956
1.4,12.0,5.6,148.91652350121004
1.4,14.0,5.6,138.41172746145782
1.4,16.0,5.6,130.7413270830732
1.6,10.0,5.6,170.0798597035047
1.6,12.0,5.6,152.84910107759978
1.6,14.0,5.6,141.18640789918115
1.6,16.0,5.6,132.76172569896667
1.8,10.0,5.6,177.1833419699537
1.8,12.0,5.6,157.31237541025985
1.8,14.0,5.6,144.28888883523882
1.8,16.0,5.6,135.01216109717055
2.0,10.0,5.6,185.71324943426796
2.0,12.0,5.6,162.42500504841314
2.0,14.0,5.6,147.79266790091145
2.0,16.0,5.6,137.5158915894912
2.2,10.0,5.6,196.16110032769777
2.2,12.0,5.6,168.3499101496089
2.2,14.0,5.6,151.7235127037922
2.2,16.0,5.6,140.34045781391205
1.2,10.0,7.3,174.57131724454837
1.2,12.0,7.3,159.70660914486376
1.2,14.0,7.3,149.070905304978
1.2,16.0,7.3,141.0109663856106
1.4,10.0,7.3,180.11209961279746
1.4,12.0,7.3,163.44170680314713
1.4,14.0,7.3,151.77942000944356
1.4,16.0,7.3,143.04836191114154
1.6,10.0,7.3,186.6048335604615
1.6,12.0,7.3,167.70379441652221
1.6,14.0,7.3,154.81494718086105
1.6,16.0,7.3,145.31581732913253
1.8,10.0,7.3,194.2418872161964
1.8,12.0,7.3,172.53328406952136
1.8,14.0,7.3,158.1986921976077
1.8,16.0,7.3,147.85393553160173
2.0,10.0,7.3,203.4055922893711
2.0,12.0,7.3,178.0503734573898
2.0,14.0,7.3,161.99920711071164
2.0,16.0,7.3,150.64436424837544
2.2,10.0,7.3,214.67075758154235
2.2,12.0,7.3,184.42206855238115
2.2,14.0,7.3,166.2466447350242
2.2,16.0,7.3,153.7208895382537
1.2,10.0,8.8,186.57905493074514
1.2,12.0,8.8,170.65652141912642
1.2,14.0,8.8,159.18527386509138
1.2,16.0,8.8,150.45717005831233
1.4,10.0,8.8,192.4256175164854
1.4,12.0,8.8,174.6235805569627
1.4,14.0,8.8,162.08129163074273
1.4,16.0,8.8,152.6521371777029
1.6,10.0,8.8,199.2520915742906
1.6,12.0,8.8,179.12775747200018
1.6,14.0,8.8,165.30762598255603
1.6,16.0,8.8,155.08253410964963
1.8,10.0,8.8,207.29693885628654
1.8,12.0,8.8,184.22259218225128
1.8,14.0,8.8,168.90514895517416
1.8,16.0,8.8,157.78397355952185
2.0,10.0,8.8,216.94662033433494
2.0,12.0,8.8,190.03469095893104
2.0,14.0,8.8,172.91508756409934
2.0,16.0,8.8,160.7507059853124
2.2,10.0,8.8,229.067190332243
2.2,12.0,8.8,196.744630675721
2.2,14.0,8.8,177.40378804228038
2.2,16.0,8.8,164.01474343730163
