M,R,D,kT_g1_eV
1.2,10.0,5.6,160.46964392511603
1.2,12.0,5.6,146.7448568533286
1.2,14.0,5.6,136.96919046408365
1.2,16.0,5.6,129.74866228186974
1.4,10.0,5.6,165.58191039273225
1.4,12.0,5.6,150.1629836712535
1.4,14.0,5.6,139.43534928959792
1.4,16.0,5.6,131.57788128090834
1.6,10.0,5.6,171.57850876480194
1.6,12.0,5.6,154.08589629520338
1.6,14.0,5.6,142.21090131502854
1.6,16.0,5.6,133.59274971179903
1.8,10.0,5.6,178.64171891979953
1.8,12.0,5.6,158.53417208315867
1.8,14.0,5.6,145.30912544252487
1.8,16.0,5.6,135.84163149803186
2.0,10.0,5.6,187.11684619150333
2.0,12.0,5.6,163.6224491167181
2.0,14.0,5.6,148.80683816626686
2.0,16.0,5.6,138.37348817101255
2.2,10.0,5.6,197.52082411677495
2.2,12.0,5.6,169.52075929279113
2.2,14.0,5.6,152.72596887911132
2.2,16.0,5.6,141.19290992325793
1.2,10.0,7.3,176.6252904120778
1.2,12.0,7.3,161.38489683058248
1.2,14.0,7.3,150.46063450256702
1.2,16.0,7.3,142.1781598145349
1.4,10.0,7.3,182.13478144209216
1.4,12.0,7.3,165.10981429535175
1.4,14.0,7.3,153.1732364937888
1.4,16.0,7.3,144.2224566440867
1.6,10.0,7.3,188.58749374144045
1.6,12.0,7.3,169.352997889232
1.6,14.0,7.3,156.2042654530836
1.6,16.0,7.3,146.49502929128496
1.8,10.0,7.3,196.19723786602088
1.8,12.0,7.3,174.1537734624672
1.8,14.0,7.3,159.57795267414525
1.8,16.0,7.3,149.02972118171442
2.0,10.0,7.3,205.32077219373707
2.0,12.0,7.3,179.6399348709995
2.0,14.0,7.3,163.3626948356151
2.0,16.0,7.3,151.81786823169756
2.2,10.0,7.3,216.53738559377007
2.2,12.0,7.3,185.97428125241387
2.2,14.0,7.3,167.59184764234482
2.2,16.0,7.3,154.88982494651273
1.2,10.0,8.8,189.07446880242767
1.2,12.0,8.8,172.7041958706523
1.2,14.0,8.8,160.90253593582767
1.2,16.0,8.8,151.9157803883234
1.4,10.0,8.8,194.9049589324198
1.4,12.0,8.8,176.65376133975423
1.4,14.0,8.8,163.79584805326132
1.4,16.0,8.8,154.1142825806245
1.6,10.0,8.8,201.7171803854903
1.6,12.0,8.8,181.13521417316676
1.6,14.0,8.8,167.01015878631412
1.6,16.0,8.8,156.54272480304226
1.8,10.0,8.8,209.7214679644316
1.8,12.0,8.8,186.19708985109193
1.8,14.0,8.8,170.58973279424967
1.8,16.0,8.8,159.2402640067995
2.0,10.0,8.8,219.36275353823234
2.0,12.0,8.8,191.98305087729162
2.0,14.0,8.8,174.5833766204421
2.0,16.0,8.8,162.20076154878993
2.2,10.0,8.8,231.44771043231006
2.2,12.0,8.8,198.67484777684342
2.2,14.0,8.8,179.04528508260805
2.2,16.0,8.8,165.44852089607946
