M,R,D,kT_g5_eV
1.2,10.0,5.6,136.3430135759643
1.2,12.0,5.6,125.47375320910933
1.2,14.0,5.6,117.59879967364576
1.2,16.0,5.6,111.54828277279009
1.4,10.0,5.6,140.83250005425802
1.4,12.0,5.6,128.3638956890403
1.4,14.0,5.6,119.73273112072542
1.4,16.0,5.6,113.17822771624581
1.6,10.0,5.6,146.1648310578362
1.6,12.0,5.6,131.68396326495778
1.6,14.0,5.6,122.11890147597653
1.6,16.0,5.6,114.98544993428483
1.8,10.0,5.6,152.4800019807835
1.8,12.0,5.6,135.4356164854679
1.8,14.0,5.6,124.77365266084826
1.8,16.0,5.6,117.00728141786706
2.0,10.0,5.6,160.08951501178728
2.0,12.0,5.6,139.88878203584352
2.0,14.0,5.6,127.7564657339157
2.0,16.0,5.6,119.22927110080016
2.2,10.0,5.6,169.43100578751427
2.2,12.0,5.6,145.1552970755594
2.2,14.0,5.6,131.0940223005594
2.2,16.0,5.6,121.66702503208107
1.2,10.0,7.3,149.4489571647755
1.2,12.0,7.3,136.9660366682317
1.2,14.0,7.3,128.36980720101073
1.2,16.0,7.3,121.75670564458969
1.4,10.0,7.3,154.33090003525857
1.4,12.0,7.3,140.20157386673526
1.4,14.0,7.3,130.65104535963178
1.4,16.0,7.3,123.50737429616453
1.6,10.0,7.3,160.09320125153482
1.6,12.0,7.3,143.94046088784333
1.6,14.0,7.3,133.1995902748154
1.6,16.0,7.3,125.44486513572926
1.8,10.0,7.3,166.9025180607529
1.8,12.0,7.3,148.19136178226586
1.8,14.0,7.3,136.0356978776525
1.8,16.0,7.3,127.60652702093937
2.0,10.0,7.3,175.08659180852945
2.0,12.0,7.3,153.07451388653803
2.0,14.0,7.3,139.342272459622
2.0,16.0,7.3,129.9789094830238
2.2,10.0,7.3,185.1709646070368
2.2,12.0,7.3,158.7496911126364
2.2,14.0,7.3,143.0878930954106
2.2,16.0,7.3,132.58148800480845
1.2,10.0,8.8,159.5008085457454
1.2,12.0,8.8,146.10426335730827
1.2,14.0,8.8,136.57552824112526
1.2,16.0,8.8,129.53970059540686
1.4,10.0,8.8,164.68456194692348
1.4,12.0,8.8,149.5556721185736
1.4,14.0,8.8,139.05701063203446
1.4,16.0,8.8,131.37504836998608
1.6,10.0,8.8,170.76658322047456
1.6,12.0,8.8,153.51926728475152
1.6,14.0,8.8,141.84789291509423
1.6,16.0,8.8,133.40524013728398
1.8,10.0,8.8,177.94381156310186
1.8,12.0,8.8,158.02030253639992
1.8,14.0,8.8,144.98160022370192
1.8,16.0,8.8,135.67283152790353
2.0,10.0,8.8,186.55757545969925
2.0,12.0,8.8,163.17848208782974
2.0,14.0,8.8,148.50903939405796
2.0,16.0,8.8,138.21745401338387
2.2,10.0,8.8,197.14369354799302
2.2,12.0,8.8,169.1620302933665
2.2,14.0,8.8,152.47298017887687
2.2,16.0,8.8,141.06617444756822
